original_filename,base_image_id,style
0001_simpa_simpa_173_artistic.png,simpa_simpa_173,artistic
0329_simpa_simpa_173_digital art.png,simpa_simpa_173,digital art
0402_simpa_simpa_173_realistic.png,simpa_simpa_173,realistic
0544_simpa_simpa_173_geometric.png,simpa_simpa_173,geometric
1415_simpa_simpa_173_storybook.png,simpa_simpa_173,storybook
1736_simpa_simpa_173_retro.png,simpa_simpa_173,retro
1877_simpa_simpa_173_technical.png,simpa_simpa_173,technical
2300_simpa_simpa_173_cartoon.png,simpa_simpa_173,cartoon
3011_simpa_simpa_173_3d rendered.png,simpa_simpa_173,3d rendered
3798_simpa_simpa_173_minimalistic.png,simpa_simpa_173,minimalistic
0002_asset_asset_125_technical.png,asset_asset_125,technical
0794_asset_asset_125_realistic.png,asset_asset_125,realistic
1523_asset_asset_125_3d rendered.png,asset_asset_125,3d rendered
1617_asset_asset_125_retro.png,asset_asset_125,retro
2462_asset_asset_125_artistic.png,asset_asset_125,artistic
2589_asset_asset_125_geometric.png,asset_asset_125,geometric
2886_asset_asset_125_cartoon.png,asset_asset_125,cartoon
3221_asset_asset_125_minimalistic.png,asset_asset_125,minimalistic
3765_asset_asset_125_storybook.png,asset_asset_125,storybook
3855_asset_asset_125_digital art.png,asset_asset_125,digital art
0003_simpa_simpa_239_cartoon.png,simpa_simpa_239,cartoon
0012_simpa_simpa_239_technical.png,simpa_simpa_239,technical
0789_simpa_simpa_239_digital art.png,simpa_simpa_239,digital art
1135_simpa_simpa_239_geometric.png,simpa_simpa_239,geometric
1290_simpa_simpa_239_artistic.png,simpa_simpa_239,artistic
2278_simpa_simpa_239_minimalistic.png,simpa_simpa_239,minimalistic
2980_simpa_simpa_239_storybook.png,simpa_simpa_239,storybook
3021_simpa_simpa_239_retro.png,simpa_simpa_239,retro
3089_simpa_simpa_239_realistic.png,simpa_simpa_239,realistic
3920_simpa_simpa_239_3d rendered.png,simpa_simpa_239,3d rendered
0004_simpa_simpa_398_cartoon.png,simpa_simpa_398,cartoon
1338_simpa_simpa_398_digital art.png,simpa_simpa_398,digital art
1349_simpa_simpa_398_retro.png,simpa_simpa_398,retro
1603_simpa_simpa_398_minimalistic.png,simpa_simpa_398,minimalistic
1871_simpa_simpa_398_technical.png,simpa_simpa_398,technical
2575_simpa_simpa_398_3d rendered.png,simpa_simpa_398,3d rendered
2659_simpa_simpa_398_realistic.png,simpa_simpa_398,realistic
2766_simpa_simpa_398_geometric.png,simpa_simpa_398,geometric
3511_simpa_simpa_398_storybook.png,simpa_simpa_398,storybook
3601_simpa_simpa_398_artistic.png,simpa_simpa_398,artistic
0005_asset_asset_137_realistic.png,asset_asset_137,realistic
1017_asset_asset_137_geometric.png,asset_asset_137,geometric
1125_asset_asset_137_technical.png,asset_asset_137,technical
1405_asset_asset_137_digital art.png,asset_asset_137,digital art
1965_asset_asset_137_minimalistic.png,asset_asset_137,minimalistic
2158_asset_asset_137_storybook.png,asset_asset_137,storybook
2241_asset_asset_137_cartoon.png,asset_asset_137,cartoon
2718_asset_asset_137_3d rendered.png,asset_asset_137,3d rendered
2885_asset_asset_137_artistic.png,asset_asset_137,artistic
3809_asset_asset_137_retro.png,asset_asset_137,retro
0007_asset_asset_074_storybook.png,asset_asset_074,storybook
0526_asset_asset_074_realistic.png,asset_asset_074,realistic
0601_asset_asset_074_retro.png,asset_asset_074,retro
0695_asset_asset_074_artistic.png,asset_asset_074,artistic
