new_filename,original_filename,sequence_number,dataset,dataset_id,style,base_image
0001.png,0001_simpa_simpa_173_artistic.png,0001,simpa,173,artistic,simpa_simpa_173
0002.png,0002_asset_asset_125_technical.png,0002,asset,125,technical,asset_asset_125
0003.png,0003_simpa_simpa_239_cartoon.png,0003,simpa,239,cartoon,simpa_simpa_239
0004.png,0004_simpa_simpa_398_cartoon.png,0004,simpa,398,cartoon,simpa_simpa_398
0005.png,0005_asset_asset_137_realistic.png,0005,asset,137,realistic,asset_asset_137
0007.png,0007_asset_asset_074_storybook.png,0007,asset,074,storybook,asset_asset_074
0008.png,0008_onestopenglish_onestop_092_storybook.png,0008,onestopenglish,092,storybook,onestopenglish_onestopenglish_092
0009.png,0009_wikipedia_wikipedia_107_artistic.png,0009,wikipedia,107,artistic,wikipedia_wikipedia_107
0010.png,0010_wikipedia_wikipedia_099_3d rendered.png,0010,wikipedia,099,3d rendered,wikipedia_wikipedia_099
0011.png,0011_simpa_simpa_496_artistic.png,0011,simpa,496,artistic,simpa_simpa_496
0012.png,0012_simpa_simpa_239_technical.png,0012,simpa,239,technical,simpa_simpa_239
0013.png,0013_asset_asset_400_technical.png,0013,asset,400,technical,asset_asset_400
0014.png,0014_simpa_simpa_405_artistic.png,0014,simpa,405,artistic,simpa_simpa_405
0015.png,0015_onestopenglish_onestop_022_3d rendered.png,0015,onestopenglish,022,3d rendered,onestopenglish_onestopenglish_022
0016.png,0016_simpa_simpa_361_artistic.png,0016,simpa,361,artistic,simpa_simpa_361
0018.png,0018_wikipedia_wikipedia_325_geometric.png,0018,wikipedia,325,geometric,wikipedia_wikipedia_325
0019.png,0019_simpa_simpa_107_technical.png,0019,simpa,107,technical,simpa_simpa_107
0020.png,0020_wikipedia_wikipedia_130_retro.png,0020,wikipedia,130,retro,wikipedia_wikipedia_130
0022.png,0022_wikipedia_wikipedia_303_technical.png,0022,wikipedia,303,technical,wikipedia_wikipedia_303
0023.png,0023_onestopenglish_onestop_187_retro.png,0023,onestopenglish,187,retro,onestopenglish_onestopenglish_187
0024.png,0024_onestopenglish_onestop_340_artistic.png,0024,onestopenglish,340,artistic,onestopenglish_onestopenglish_340
0025.png,0025_asset_asset_207_realistic.png,0025,asset,207,realistic,asset_asset_207
0026.png,0026_simpa_simpa_140_minimalistic.png,0026,simpa,140,minimalistic,simpa_simpa_140
0027.png,0027_asset_asset_271_minimalistic.png,0027,asset,271,minimalistic,asset_asset_271
0028.png,0028_wikipedia_wikipedia_322_3d rendered.png,0028,wikipedia,322,3d rendered,wikipedia_wikipedia_322
0030.png,0030_onestopenglish_onestop_222_technical.png,0030,onestopenglish,222,technical,onestopenglish_onestopenglish_222
0031.png,0031_onestopenglish_onestop_227_cartoon.png,0031,onestopenglish,227,cartoon,onestopenglish_onestopenglish_227
0032.png,0032_wikipedia_wikipedia_222_digital art.png,0032,wikipedia,222,digital art,wikipedia_wikipedia_222
0033.png,0033_simpa_simpa_107_realistic.png,0033,simpa,107,realistic,simpa_simpa_107
0034.png,0034_simpa_simpa_386_geometric.png,0034,simpa,386,geometric,simpa_simpa_386
0035.png,0035_wikipedia_wikipedia_314_retro.png,0035,wikipedia,314,retro,wikipedia_wikipedia_314
0036.png,0036_wikipedia_wikipedia_447_3d rendered.png,0036,wikipedia,447,3d rendered,wikipedia_wikipedia_447
0037.png,0037_onestopenglish_onestop_107_artistic.png,0037,onestopenglish,107,artistic,onestopenglish_onestopenglish_107
0038.png,0038_asset_asset_451_technical.png,0038,asset,451,technical,asset_asset_451
0039.png,0039_onestopenglish_onestop_226_technical.png,0039,onestopenglish,226,technical,onestopenglish_onestopenglish_226
0040.png,0040_wikipedia_wikipedia_279_3d rendered.png,0040,wikipedia,279,3d rendered,wikipedia_wikipedia_279
0041.png,0041_asset_asset_305_realistic.png,0041,asset,305,realistic,asset_asset_305
0042.png,0042_asset_asset_172_realistic.png,0042,asset,172,realistic,asset_asset_172
0044.png,0044_asset_asset_253_realistic.png,0044,asset,253,realistic,asset_asset_253
0045.png,0045_wikipedia_wikipedia_413_3d rendered.png,0045,wikipedia,413,3d rendered,wikipedia_wikipedia_413
0046.png,0046_wikipedia_wikipedia_061_retro.png,0046,wikipedia,061,retro,wikipedia_wikipedia_061
0047.png,0047_wikipedia_wikipedia_279_minimalistic.png,0047,wikipedia,279,minimalistic,wikipedia_wikipedia_279
0048.png,0048_wikipedia_wikipedia_021_technical.png,0048,wikipedia,021,technical,wikipedia_wikipedia_021
0050.png,0050_onestopenglish_onestop_227_storybook.png,0050,onestopenglish,227,storybook,onestopenglish_onestopenglish_227
0051.png,0051_simpa_simpa_424_cartoon.png,0051,simpa,424,cartoon,simpa_simpa_424
0053.png,0053_onestopenglish_onestop_022_digital art.png,0053,onestopenglish,022,digital art,onestopenglish_onestopenglish_022
0054.png,0054_wikipedia_wikipedia_184_minimalistic.png,0054,wikipedia,184,minimalistic,wikipedia_wikipedia_184
0055.png,0055_asset_asset_069_realistic.png,0055,asset,069,realistic,asset_asset_069
0056.png,0056_asset_asset_379_digital art.png,0056,asset,379,digital art,asset_asset_379
0057.png,0057_asset_asset_322_geometric.png,0057,asset,322,geometric,asset_asset_322
0058.png,0058_simpa_simpa_402_storybook.png,0058,simpa,402,storybook,simpa_simpa_402
0059.png,0059_asset_asset_207_artistic.png,0059,asset,207,artistic,asset_asset_207
0060.png,0060_wikipedia_wikipedia_251_digital art.png,0060,wikipedia,251,digital art,wikipedia_wikipedia_251
0061.png,0061_wikipedia_wikipedia_340_technical.png,0061,wikipedia,340,technical,wikipedia_wikipedia_340
0062.png,0062_simpa_simpa_203_geometric.png,0062,simpa,203,geometric,simpa_simpa_203
0063.png,0063_wikipedia_wikipedia_239_artistic.png,0063,wikipedia,239,artistic,wikipedia_wikipedia_239
0064.png,0064_onestopenglish_onestop_338_realistic.png,0064,onestopenglish,338,realistic,onestopenglish_onestopenglish_338
0065.png,0065_simpa_simpa_348_minimalistic.png,0065,simpa,348,minimalistic,simpa_simpa_348
0066.png,0066_wikipedia_wikipedia_395_digital art.png,0066,wikipedia,395,digital art,wikipedia_wikipedia_395
0067.png,0067_simpa_simpa_122_geometric.png,0067,simpa,122,geometric,simpa_simpa_122
0068.png,0068_onestopenglish_onestop_101_3d rendered.png,0068,onestopenglish,101,3d rendered,onestopenglish_onestopenglish_101
0069.png,0069_asset_asset_032_artistic.png,0069,asset,032,artistic,asset_asset_032
0070.png,0070_simpa_simpa_152_technical.png,0070,simpa,152,technical,simpa_simpa_152
0071.png,0071_asset_asset_435_retro.png,0071,asset,435,retro,asset_asset_435
0072.png,0072_simpa_simpa_212_minimalistic.png,0072,simpa,212,minimalistic,simpa_simpa_212
0074.png,0074_wikipedia_wikipedia_061_artistic.png,0074,wikipedia,061,artistic,wikipedia_wikipedia_061
0075.png,0075_simpa_simpa_138_minimalistic.png,0075,simpa,138,minimalistic,simpa_simpa_138
0076.png,0076_onestopenglish_onestop_251_cartoon.png,0076,onestopenglish,251,cartoon,onestopenglish_onestopenglish_251
